wastewater_treatment_plant.name,collection_date,target,assay,gc_per_lww,id,dilution,total_droplets
STEP Aire,2022-09-23T00:00:00Z,RSV-N,respv4,2039.8224336720552,1,3,28338
STEP Aire,2022-09-23T00:00:00Z,RSV-N,respv4,0,2,3,28643
STEP Aire,2022-09-23T00:00:00Z,SARS-N2,respv4,354244.8423711166,1,3,28643
STEP Aire,2022-09-23T00:00:00Z,SARS-N2,respv4,331393.54844998394,2,3,28338
STEP Aire,2022-09-24T00:00:00Z,SARS-N1,n1mhv,181786.7202765739,1,3,24841
STEP Aire,2022-09-24T00:00:00Z,SARS-N1,n1mhv,159837.8247547879,2,3,23539
STEP Aire,2022-09-25T00:00:00Z,SARS-N1,n1mhv,341401.1530948748,1,3,23604
STEP Aire,2022-09-25T00:00:00Z,SARS-N1,n1mhv,318343.2309878614,2,3,26219
STEP Aire,2022-09-26T00:00:00Z,SARS-N1,n1mhv,384554.7897257537,1,3,25035
STEP Aire,2022-09-26T00:00:00Z,SARS-N1,n1mhv,375210.0806166103,2,3,27202
STEP Aire,2022-09-26T00:00:00Z,IAV-M,respv4,0,1,3,28265
STEP Aire,2022-09-26T00:00:00Z,IAV-M,respv4,0,2,3,28779
STEP Aire,2022-09-26T00:00:00Z,IBV-M,respv4,0,1,3,28265
STEP Aire,2022-09-26T00:00:00Z,IBV-M,respv4,0,2,3,28779
STEP Aire,2022-09-26T00:00:00Z,RSV-N,respv4,6025.9023466725575,1,3,28779
STEP Aire,2022-09-26T00:00:00Z,RSV-N,respv4,2045.0907751440752,2,3,28265
STEP Aire,2022-09-26T00:00:00Z,SARS-N2,respv4,577535.9451449658,1,3,28265
STEP Aire,2022-09-26T00:00:00Z,SARS-N2,respv4,561085.5563917211,2,3,28779
STEP Aire,2022-09-27T00:00:00Z,SARS-N1,n1mhv,368298.5319285546,1,3,25664
STEP Aire,2022-09-27T00:00:00Z,SARS-N1,n1mhv,316889.9789535492,2,3,26156
STEP Aire,2022-09-28T00:00:00Z,SARS-N1,n1mhv,231806.5772864195,1,3,26985
STEP Aire,2022-09-28T00:00:00Z,SARS-N1,n1mhv,183281.5717003835,2,3,26534
STEP Aire,2022-09-29T00:00:00Z,SARS-N1,n1mhv,393903.04409811104,1,3,27535
STEP Aire,2022-09-29T00:00:00Z,SARS-N1,n1mhv,363473.1775332924,2,3,27918
STEP Aire,2022-09-30T00:00:00Z,SARS-N1,n1mhv,450922.0518974574,1,3,27411
STEP Aire,2022-09-30T00:00:00Z,SARS-N1,n1mhv,430103.31411228376,2,3,26979
STEP Aire,2022-09-30T00:00:00Z,IAV-M,respv4,2059.591605855544,1,3,28066
STEP Aire,2022-09-30T00:00:00Z,IAV-M,respv4,0,2,3,27455
STEP Aire,2022-09-30T00:00:00Z,IBV-M,respv4,0,1,3,28066
STEP Aire,2022-09-30T00:00:00Z,IBV-M,respv4,0,2,3,27455
STEP Aire,2022-09-30T00:00:00Z,RSV-N,respv4,4210.932340183144,1,3,27455
STEP Aire,2022-09-30T00:00:00Z,RSV-N,respv4,4119.256599506575,2,3,28066
STEP Aire,2022-09-30T00:00:00Z,SARS-N2,respv4,801366.5716312202,1,3,27455
STEP Aire,2022-09-30T00:00:00Z,SARS-N2,respv4,679512.4332254679,2,3,28066
STEP Aire,2022-10-01T00:00:00Z,SARS-N1,n1mhv,287503.1989389866,1,3,24388
STEP Aire,2022-10-01T00:00:00Z,SARS-N1,n1mhv,194362.8872556338,2,3,26811
STEP Aire,2022-10-02T00:00:00Z,SARS-N1,n1mhv,405431.0719828713,1,3,25324
STEP Aire,2022-10-02T00:00:00Z,SARS-N1,n1mhv,402074.28365017526,2,3,26256
STEP Aire,2022-10-03T00:00:00Z,SARS-N1,n1mhv,716141.9690392474,1,3,25177
STEP Aire,2022-10-03T00:00:00Z,SARS-N1,n1mhv,542088.588953174,2,3,23569
STEP Aire,2022-10-03T00:00:00Z,IAV-M,respv4,6132.018062091729,1,3,28281
STEP Aire,2022-10-03T00:00:00Z,IAV-M,respv4,0,2,3,27718
STEP Aire,2022-10-03T00:00:00Z,IBV-M,respv4,0,1,3,27718
STEP Aire,2022-10-03T00:00:00Z,IBV-M,respv4,0,2,3,28281
STEP Aire,2022-10-03T00:00:00Z,RSV-N,respv4,4170.975807857687,1,3,27718
STEP Aire,2022-10-03T00:00:00Z,RSV-N,respv4,2043.9337428327624,2,3,28281
STEP Aire,2022-10-03T00:00:00Z,SARS-N2,respv4,787368.0367815914,1,3,27718
STEP Aire,2022-10-03T00:00:00Z,SARS-N2,respv4,730176.1018566496,2,3,28281
STEP Aire,2022-10-04T00:00:00Z,SARS-N1,n1mhv,794441.80845891,1,3,24982
STEP Aire,2022-10-04T00:00:00Z,SARS-N1,n1mhv,739193.7482073011,2,3,25105
STEP Aire,2022-10-05T00:00:00Z,SARS-N1,n1mhv,324096.09934326523,1,3,26828
STEP Aire,2022-10-05T00:00:00Z,SARS-N1,n1mhv,314741.2904440245,2,3,27439
STEP Aire,2022-10-06T00:00:00Z,SARS-N1,n1mhv,526617.3271308691,1,3,26684
STEP Aire,2022-10-06T00:00:00Z,SARS-N1,n1mhv,366682.5209262137,2,3,27200
STEP Aire,2022-10-07T00:00:00Z,SARS-N1,n1mhv,464156.5671244118,1,3,21381
STEP Aire,2022-10-07T00:00:00Z,SARS-N1,n1mhv,391874.1521876022,2,3,25753
