SampleName,file_name,TotalDroplets
10_2022-02-11,20220308_SN1(2x)FLU_01080225_18.xlsx,26832
10_2022-02-11,20220308_SN1(2x)FLU_01080225_18.xlsx,26121
10_2022-02-14,20220308_SN1(2x)FLU_01080225_18.xlsx,24364
10_2022-02-14,20220308_SN1(2x)FLU_01080225_18.xlsx,24538
10_2022-02-14,20221121_RESPV4_01210225_10.xlsx,27432
10_2022-02-14,20221121_RESPV4_01210225_10.xlsx,27802
10_2022-02-18,20220308_SN1(2x)FLU_01080225_18.xlsx,26962
10_2022-02-18,20220308_SN1(2x)FLU_01080225_18.xlsx,24656
10_2022-02-18,20221121_RESPV4_01210225_10.xlsx,27982
10_2022-02-18,20221121_RESPV4_01210225_10.xlsx,28281
10_2022-02-21,20220308_SN1(2x)FLU_01080225_18.xlsx,23379
10_2022-02-21,20220308_SN1(2x)FLU_01080225_18.xlsx,23663
10_2022-02-21,20221121_RESPV4_01210225_10.xlsx,27088
10_2022-02-21,20221121_RESPV4_01210225_10.xlsx,27512
10_2022-02-25,20220308_SN1(2x)FLU_01080225_18.xlsx,23767
10_2022-02-25,20220308_SN1(2x)FLU_01080225_18.xlsx,24762
10_2022-02-25,20221121_RESPV4_01210225_10.xlsx,20215
10_2022-02-25,20221121_RESPV4_01210225_10.xlsx,27867
10_2022-02-28,20220412_SN1FLU_01080225_18.xlsx,26474
10_2022-02-28,20220412_SN1FLU_01080225_18.xlsx,26287
10_2022-02-28,20221031_RESPV4_02280402_14.xlsx,264
10_2022-02-28,20221031_RESPV4_02280402_14.xlsx,4792
10_2022-03-04,20220412_SN1FLU_01080225_18.xlsx,26301
10_2022-03-04,20220412_SN1FLU_01080225_18.xlsx,26259
10_2022-03-04,20221031_RESPV4_02280402_14.xlsx,5312
